variant,row_type,boundary,direction,requested_outward_max,count_above_threshold,share_above_threshold,argmax_index,argmax_physical,requested_at_max,quantiles_q50_q90_q95_q99,offending_b_index,offending_a_index,offending_z_index,offending_b,offending_a,offending_z,offending_requested_outward_rate,,
V2_B_WIDE,offending,upper_a,a_forward,2.390924420e-01,,,,,,,35,19,1,1.089473684e+01,1.000000000e+01,1.300000000e+00,2.390924420e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.448504556e-01,,,,,,,36,19,0,1.126315789e+01,1.000000000e+01,8.000000000e-01,2.448504556e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.233775713e-01,,,,,,,36,19,1,1.126315789e+01,1.000000000e+01,1.300000000e+00,2.233775713e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.287287194e-01,,,,,,,37,19,0,1.163157895e+01,1.000000000e+01,8.000000000e-01,2.287287194e-01,,
V2_B_WIDE,offending,upper_a,a_forward,1.975216189e-01,,,,,,,37,19,1,1.163157895e+01,1.000000000e+01,1.300000000e+00,1.975216189e-01,,
V2_B_WIDE,offending,upper_a,a_forward,1.970610811e-01,,,,,,,38,19,0,1.200000000e+01,1.000000000e+01,8.000000000e-01,1.970610811e-01,,
V2_B_WIDE,offending,upper_a,a_forward,1.538275023e-01,,,,,,,38,19,1,1.200000000e+01,1.000000000e+01,1.300000000e+00,1.538275023e-01,,
V2_B_WIDE,offending,upper_a,a_forward,1.186582564e-01,,,,,,,39,19,0,1.236842105e+01,1.000000000e+01,8.000000000e-01,1.186582564e-01,,
V2_B_WIDE,offending,upper_a,a_forward,8.503454305e-02,,,,,,,39,19,1,1.236842105e+01,1.000000000e+01,1.300000000e+00,8.503454305e-02,,
V3_AB_MID,summary,lower_b,b_backward,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,,,
V3_AB_MID,summary,upper_b,b_forward,2.779124150e-01,3,5.000000000e-02,"(29, 29, 1)","(8.68421052631579, 15.263157894736842, 1.3)",2.779124150e-01,0.22929673647407903/0.26818927925974667/0.27305084710795513/0.2769401013865219,,,,,,,,,
V3_AB_MID,offending,upper_b,b_forward,8.161843586e-02,,,,,,,29,27,1,8.684210526e+00,1.421052632e+01,1.300000000e+00,8.161843586e-02,,
