r_a,r_b,L,finite_before,stage_before,old_transfer_foc_guard_failure_before,finite_after,stage_after,hjb_converged_after,hjb_iterations_after,hjb_statistic_after,hjb_exception_class_after,hjb_exception_message_after,kfe_reached_after,kfe_exception_class_after,kfe_exception_message_after,agg_reached_after,agg_finite_after,kfe_mass_error_after,hjb_warnings_after,kfe_warnings_after
0.0,0.08125000000000003,1.5999999999999999,1,FINITE,0,1,FULL_FINITE,1,11,2.0337960648930675e-08,,,1,,,1,1,2.220446049250313e-16,,
0.0,0.08125000000000003,1.95,1,FINITE,0,1,FULL_FINITE,1,11,1.2896578027721262e-08,,,1,,,1,1,2.220446049250313e-16,,
0.0,0.08125000000000003,2.3,1,FINITE,0,1,FULL_FINITE,1,11,7.498787368831472e-09,,,1,,,1,1,4.440892098500626e-16,,
0.0,0.08125000000000003,2.65,1,FINITE,0,1,FULL_FINITE,1,10,8.830715714225335e-08,,,1,,,1,1,2.220446049250313e-16,,
0.0,0.08125000000000003,3.0,1,FINITE,0,1,FULL_FINITE,1,11,5.240089251401514e-09,,,1,,,1,1,2.220446049250313e-16,,
0.0,0.1,0.2,1,FINITE,0,1,FULL_FINITE,1,11,1.1755208362274061e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.1,0.55,1,FINITE,0,1,FULL_FINITE,1,11,6.077257808101422e-09,,,1,,,1,1,2.220446049250313e-16,,
0.0,0.1,0.8999999999999999,0,6,0,0,KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,1,11,8.662983219664966e-09,,,0,ValueError,faithful contaminated-row solve is non-finite,,,,,MatrixRankWarning
0.0,0.1,1.2499999999999998,0,6,0,0,KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,1,11,8.947310448093049e-09,,,0,ValueError,faithful contaminated-row solve is non-finite,,,,,MatrixRankWarning
0.0,0.1,1.5999999999999999,1,FINITE,0,1,FULL_FINITE,1,11,1.508614388967544e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.1,1.95,1,FINITE,0,1,FULL_FINITE,1,10,8.500047599113714e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.1,2.3,1,FINITE,0,1,FULL_FINITE,1,10,7.1066992290980124e-09,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.1,2.65,1,FINITE,0,1,FULL_FINITE,1,10,1.5018315480119782e-09,,,1,,,1,1,1.1102230246251565e-16,,
0.0,0.1,3.0,1,FINITE,0,1,FULL_FINITE,1,10,3.637770973341503e-09,,,1,,,1,1,1.1102230246251565e-16,,
0.015,-0.05,0.2,0,3,1,0,HJB_NO_CONVERGENCE,0,1000,0.038764618140707086,,,,,,,,,,
0.015,-0.05,0.55,0,3,1,0,HJB_NO_CONVERGENCE,0,1000,0.01727987524101593,,,,,,,,,,
0.015,-0.05,0.8999999999999999,0,3,1,0,HJB_NO_CONVERGENCE,0,1000,0.03461455721762974,,,,,,,,,,
